case_name,reference_count,unique_domain_count,reference_domains,attack_tx_hash_count,has_attack_tx_hash,incident_record_sha256
babyswap,1,1,twitter.com,0,False,648b0e42186edd74db255dcbf89e94b86ef3204992ab4ef6515281ec8cb35351
roi,4,3,medium.com|panewslab.com|twitter.com,0,False,bccbb202669b05e37194493de31af6ac45210bb1e2e41b89b2e016ed27d84076
thb,2,2,bscscan.com|twitter.com,1,True,7dca945bd8148fff011da7673f1abf279d12de9422033958c42671c508a3d844
carrot,2,2,bscscan.com|twitter.com,1,True,4d96e3a73a95448bc7213d2d443106421b0f7cd0bbcc86d258822892334817da
eflevervault,3,1,twitter.com,0,False,954dd3cff81e5096a937ca6ce685065912b871c4db14ebce49c6bec99fd6db35
health,1,1,twitter.com,0,False,9f8e580ec1be1398baaab429018b092e5549088e02adb2649e39678b7af87cca
hpay,1,1,twitter.com,0,False,2399707e28f954727823461c14477892dff7efedc003879ddf5e67fed75a1a49
n00d,2,1,twitter.com,0,False,11ff444d4c0e8a4cd162e610148a408caa8130f4f785787c1e1207df8f189a5f
inuko,1,1,twitter.com,0,False,125d4be47987e729fe46c75a14bc5efc7921bccc042bb535cceb2433d852a750
pltd,1,1,twitter.com,0,False,cac8cf31fc6bc0b34a5b217125cd420c92052fdb5d6f45b969e30f2e005c3a36
olympusdao,1,1,twitter.com,0,False,9137bfb1f78624f22a987a5c813728ecf26db927f90914a81e97d62f7116241e
res,2,2,bscscan.com|twitter.com,1,True,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9
rl,1,1,twitter.com,0,False,4bf47ce88fd3406cc0b17b04a55a21cee62f037f476c9839d360c277cb009026
res_2,2,2,bscscan.com|twitter.com,1,True,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9
uerii,1,1,twitter.com,0,False,1654298690070fa195b28553bebcf03ed68b7e44ed406b797d80984bf8a0bafb
templedao,2,2,etherscan.io|twitter.com,1,True,6b76732e2c68a560ae8b5c0f0d15030848042afcd80136eb3b27d6ce55762cdc
vtf,3,1,twitter.com,0,False,5d36cdbaf2577149dee0157b6dfc3195d8ce58eab869241635489c9bbe703964
ulme,3,2,medium.com|twitter.com,0,False,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807
teamfinance,4,1,twitter.com,0,False,6a0e8bd382922d81dcc1554154f4b378dd28d80882eaeb9867fcf36815ccb2f9
ulme_2,3,2,medium.com|twitter.com,0,False,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807
aur,1,1,twitter.com,0,False,a1adaf41dd11076a0c6abe847a5a99f7c01768579fff99e51ec958f98aed2032
annex,1,1,twitter.com,0,False,e742a9533015d11cdc16dd7199f05e94aeb146693ddbbb56822682c4c62144a5
xavefinance,2,2,etherscan.io|twitter.com,1,True,450c1eed9cbbb389605b19e2b6ba170d61dbfe8eaf90ef0f3efb5111927f9f80
bdex,1,1,twitter.com,0,False,d7356a5b6c7826496bf5c92e42ee8d41decc81ac2d426a9956fb48b508e80f61
