case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
compounderfinance,CompounderFinance,compounderfinance,Manipulation of funds through fluctuations in the amount of exchangeable assets,unassigned,,,,
cellframe,Cellframenet,cellframe,Calculation issues during liquidity migration,unassigned,,,,
biswap,Biswap,biswap,V3Migrator Exploit,unassigned,,,,
ddcoin,DDCoin,ddcoin,Flashloan attack and smart contract vulnerability,unassigned,,,,
mimspell,MIMSpell,mimspell,Arbitrary External Call Vulnerability,unassigned,,,,
myai,MyAi,myai,Business Logic,unassigned,,,,
pawnfi,Pawnfi,pawnfi,Business Logic Flaw,unassigned,,,,
sellc03,SellToken04,sellc,Price Manipulation,oracle_or_market_manipulation,,,,
depusdt_levusdc,DEPUSDT_LEVUSDC,depusdt_levusdc,Incorrect access control,unassigned,,,,
shido_2,SHIDO,shido,Business Logic,unassigned,,,,
un,UN,un,Price Manipulation,oracle_or_market_manipulation,,,,
vinu,VINU,vinu,Price Manipulation,oracle_or_market_manipulation,,,,
sturdy,Sturdy Finance,sturdy,Read-Only-Reentrancy,unassigned,,,,
bno,BNO,bno,Invalid emergency withdraw mechanism,unassigned,,,,
apedao,APEDAO,apedao,Business Logic Flaw,unassigned,,,,
bamboo,BambooIA,bamboo,Price manipulation attack,unassigned,,,,
conic02,Conic Finance 02,conic,Price Manipulation,oracle_or_market_manipulation,,,,
bao,BaoCommunity,bao,Donate Inflation ExchangeRate && Rounding Error,unassigned,,,,
conic,Conic Finance,conic,Read-Only-Reentrancy && MisConfiguration,unassigned,,,,
conic_2,Conic Finance,conic,Read-Only-Reentrancy && MisConfiguration,unassigned,,,,
gymnet,GYMNET,gymnet,Insufficient validation,unassigned,,,,
ffist,FFIST,ffist,Business Logic Flaw,unassigned,,,,
mintofinance,MintoFinance,mintofinance,Signature Replay,unassigned,,,,
newfi,NewFi,newfi,Lack Slippage Protection,unassigned,,,,
usdtstakingcontract28,USDTStakingContract28,usdtstakingcontract,Lack of access control,unassigned,,,,
utopia,Utopia,utopia,Business Logic Flaw,unassigned,,,,
palmswap,Palmswap,palmswap,Business Logic Flaw,unassigned,,,,
sut,SUT,sut,Business Logic Flaw,unassigned,,,,
wgpt,WGPT,wgpt,Business Logic Flaw,unassigned,,,,
btc20,BTC20,btc,Price Manipulation,oracle_or_market_manipulation,,,,
ehive,EHIVE,ehive,Business Logic Flaw,unassigned,,,,
balancer,Balancer,balancer,Rounding Error && Business Logic Flaw,unassigned,,,,
eac,EAC,eac,Price Manipulation,oracle_or_market_manipulation,,,,
earningfram,EarningFram,earningfram,Reentrancy,unassigned,,,,
leetswap,LeetSwap,leetswap,Access Control,authorization_failure,,,,
uwerx,Uwerx,uwerx,Fault logic,unassigned,,,,
bfctoken,BFCToken,bfctoken,Business Logic Flaw,unassigned,,,,
floordao,FloorDAO,floordao,Rebasing logic issue,unassigned,,,,
heavensgate,HeavensGate,heavensgate,Rebasing logic issue,unassigned,,,,
kub_split,KubSplit,kub_split,Pool manipulation,unassigned,,,,
jumpfarm,JumpFarm,jumpfarm,Rebasing logic issue,unassigned,,,,
quantumwn,QuantumWN,quantumwn,Rebasing logic issue,unassigned,,,,
uniclynft,uniclyNFT,uniclynft,Reentrancy,unassigned,,,,
bh,BH,bh,Price manipulation,oracle_or_market_manipulation,,,,
depayrouter,DePayRouter,depayrouter,Business Logic Flaw,unassigned,,,,
astrid,AstridProtocol,astrid,Business Logic Flaw,unassigned,,,,
hopelend,Hopelend,hopelend,Div Precision Loss,unassigned,,,,
openleverage,OpenLeverage,openleverage,Business Logic Flaw,unassigned,,,,
zs,ZS,zs,Business Logic Flaw,unassigned,,,,
wiselending,WiseLending,wiselending,Donate Inflation ExchangeRate && Rounding Error,unassigned,,,,
pseudoeth,pSeudoEth,pseudoeth,Pool manipulation,unassigned,,,,
ktaf,kTAF,ktaf,CompoundV2 Inflation Attack,unassigned,,,,
3913,3913Token,unknown,Deflationary Token Attack,unassigned,,,,
burntbubba,Burntbubba,burntbubba,Price Manipulation,oracle_or_market_manipulation,,,,
fiberrouter,FiberRouter,fiberrouter,input validation,unassigned,,,,
carolprotocol,CAROLProtocol,carolprotocol,Price Manipulation Via Reentrancy,unassigned,,,,
ehx,EHX,ehx,Lack of Slippage Control,unassigned,,,,
mahalend,MahaLend,mahalend,Donate Inflation ExchangeRate & Rounding Error,unassigned,,,,
swampfinance,SwampFinance,swampfinance,Business Logic Flaw,unassigned,,,,
raft,Raft_fi,raft,Donate Inflation ExchangeRate & Rounding Error,unassigned,,,,
rbalancer,RBalancer,rbalancer,Business Logic Flaw,unassigned,,,,
shibatoken,ShibaToken,shibatoken,Business Logic Flaw,unassigned,,,,
weco,WECO,weco,Business Logic Flaw,unassigned,,,,
thenftv2,TheNFTV2,thenft,logic flaw,business_logic_failure,,,,
onyxprotocol,OnyxProtocol,onyxprotocol,Precission Loss Vulnerability,unassigned,,,,
bct,BCT,bct,Price Manipulation,oracle_or_market_manipulation,,,,
trustpad,TrustPad,trustpad,Lack of msg.sender address verification,unassigned,,,,
grok,grok,grok,Lack of slippage protection,unassigned,,,,
goodcompound,GoodCompound,goodcompound,Price Manipulation,oracle_or_market_manipulation,,,,
bearndao,BEARNDAO,bearndao,Business Logic Flaw,unassigned,,,,
hypr,HYPR,hypr,Business Logic Flaw,unassigned,,,,
floorprotocol,FloorProtocol,floorprotocol,Business Logic Flaw,unassigned,,,,
xai,XAI,xai,Business Logic Flaw,unassigned,,,,
mamo,MAMO,mamo,Price Manipulation,oracle_or_market_manipulation,,,,
gooddollar,GoodDollar,gooddollar,Lack of Input Validation & Reentrancy,unassigned,,,,
kest,KEST,kest,Business Logic Flaw,unassigned,,,,
nfttrader,NFTTrader,nfttrader,Reentrancy,unassigned,,,,
pineprotocol,PineProtocol,pineprotocol,Business Logic Flaw,unassigned,,,,
cfc,CFC,cfc,Uniswap Skim() token balance attack,unassigned,,,,
shido,SHIDO,shido,Business Logic,unassigned,,,,
paraspace,ParaSpace NFT,paraspace,Flashloan + scaledBalanceOf Manipulation,unassigned,,,,
allbridge_2,Allbridge,allbridge,FlashLoan price manipulation,unassigned,,,,
lusd,LUSD,lusd,Price manipulation attack,unassigned,,,,
gss,GSS,gss,skim token balance,unassigned,,,,
xsdwethpool,XSDWETHpool,xsdwethpool,Reentrancy,unassigned,,,,
laeeb,LaEeb,laeeb,Lack Slippage Protection,unassigned,,,,
ais,AIS,ais,Insufficient validation,unassigned,,,,
hct,HCT,hct,Price Manipulation,oracle_or_market_manipulation,,,,
lqdx_alert,LQDX,lqdx_alert,Unauthorized TransferFrom,unassigned,,,,
bmizapper,BmiZapper,bmizapper,Arbitrary external call vulnerability,unassigned,,,,
mic,MIC,mic,Business Logic Flaw,unassigned,,,,
barleyfinance,BarleyFinance,barleyfinance,Reentrancy,unassigned,,,,
mimspell2,MIMSpell,mimspell,Precission Loss,unassigned,,,,
peapodsfinance,PeapodsFinance,peapodsfinance,Reentrancy,unassigned,,,,
wiselending02,WiseLending,wiselending,Bad HealthFactor Check,unassigned,,,,
socketgateway,SocketGateway,socketgateway,Lack of calldata validation,unassigned,,,,
wiselending03,WiseLending,wiselending,Bad HealthFactor Check,unassigned,,,,
xsij,XSIJ,xsij,Business Logic Flaw,unassigned,,,,
adc,ADC,adc,incorrect-access-control,unassigned,,,,
affinedefi,AffineDeFi,affinedefi,lack of validation userData,unassigned,,,,
compounduni,CompoundUni,compounduni,Oracle bad price,unassigned,,,,
